Distance,TOF,Vitesse lanceur, Angle hood, vitesse kickeur
1.5,0.867,26.0,74.0,20.0
2.0,0.967,28.0,74.0,24.0
2.5,0.967,28.5,70.0,27.0
3.0,1.067,31.0,69.0,29.0
3.25,1.067,32.5,68.0,30.0
3.5,1.067,33.0,67.0,30.0
4.0,1.133,33.0,63.0,30.0
4.5,1.2,36.0,61.0,33.0
5.0,2.0,40.0,63.0,37.0
5.5,2.0,40.0,59.0,38.0
6.0,2.0,40.0,58.0,39.0
